no_exp,plot,site_plot,name,N,thin,P,Trial,Region,real_treat,County,lat_wgs84,lon_wgs84,ståndortsindex,age_first,age_last,last_revision,P_kg_ha,N_g_m2,C_m2,N_m2,C.N,org_m2,bd.Cmg_m3,SOL_depth_mm,totN_percent,totC_percent,P_mg_kg,NH4.N_mg_g_soil,NO3.N_mg_g_soil,pine_stand_stem.first,pine_stand_liv.branch.first,pine_stand_dead.branch.first,pine_stand_stump.first,pine_stand_root5cm.first,pine_stand_rootless5cm.first,spruce_stand_stem.first,spruce_stand_liv.branch.first,spruce_stand_dead.branch.first,spruce_stand_stump.first,spruce_stand_root5cm.first,spruce_stand_rootless5cm.first,pine_stand_stem.last,pine_stand_liv.branch.last,pine_stand_dead.branch.last,pine_stand_stump.last,pine_stand_root5cm.last,pine_stand_rootless5cm.last,spruce_stand_stem.last,spruce_stand_liv.branch.last,spruce_stand_dead.branch.last,spruce_stand_stump.last,spruce_stand_root5cm.last,spruce_stand_rootless5cm.last,rev.no.last,pine_thin_stem,pine_thin_liv.branch,pine_thin_dead.branch,pine_thin_stump,pine_thin_root5cm,pine_thin_rootless5cm,spruce_thin_stem,spruce_thin_liv.branch,spruce_thin_dead.branch,spruce_thin_stump,spruce_thin_root5cm,spruce_thin_rootless5cm,pine_thin_stem.rev1,pine_thin_liv.branch.rev1,pine_thin_dead.branch.rev1,pine_thin_stump.rev1,pine_thin_root5cm.rev1,pine_thin_rootless5cm.rev1,spruce_thin_stem.rev1,spruce_thin_liv.branch.rev1,spruce_thin_dead.branch.rev1,spruce_thin_stump.rev1,spruce_thin_root5cm.rev1,spruce_thin_rootless5cm.rev1,tot.stand.pre.start,tot.stand.post.start,tot.stand.end,tot.prod.bio,tot.prod.end.no.thin.res
1000,3,1000_3,Lindviken,Nxtra,thin,Pxtra,E,B,thinning+NP,Norrbotten,65.8422095261,20.866412618,26,36,70,2016,200,60,3568.39824163239,88.7811871862494,40.1931800500305,6829.4690455215,51006264.1742766,69.96,0.83549,33.581,0.07,0.012261085897487,0,40686.3836585305,10389.1033013511,1766.01031628164,4084.33558657818,5722.01023661571,4211.46551707031,0,0,0,0,0,0,113688.721705049,14351.8633939836,2580.37643496659,9812.57713181172,16042.0127330494,6395.1588074919,144.43621048593,145.284962231359,8.32019355894292,20.9524900564969,10.411637805227,41.5526750056408,Revision_6,66425.2304661842,12000.0658698638,2438.53275647723,5871.90195207635,8606.28617149354,5533.45053162726,0,0,0,0,0,0,14687.2818724312,3057.22391996699,669.682826338835,1298.53413919158,1603.23035011414,1494.92778523514,0,0,0,0,0,0,91165.1172949404,71256.0008909683,189606.913163179,264117.136123218,140433.538665811
1000,4,1000_4,Lindviken,no_N,thin,no_P,A,B,thinning,Norrbotten,65.8422095261,20.866412618,26,36,70,2016,0,0,3049.91938984475,65.9220671865897,46.2655301935857,5825.74876221263,48136354.0063881,63.36,0.83064,38.43,0.083333333333333,0.016897536257873,0,46143.0638029285,12464.4570719234,1965.83864777375,4821.67269623997,6969.34621216588,4781.13966743135,0,0,0,0,0,0,120913.685691366,15933.9806078576,2868.25627295403,10539.1296972728,17223.3186147271,7045.20012767434,98.0807265757412,118.229633979812,6.41357984620442,16.2934139424539,4.88317930513436,34.1962462992558,Revision_6,57019.1735499718,11377.2412074462,2228.40990970566,5170.18899186567,7443.73725602468,5096.6538143672,0,0,0,0,0,0,20322.7399518187,4858.51920295807,897.479911307549,1954.63678181108,2637.84588557599,2093.04215453309,0,0,0,0,0,0,112002.824141,83831.042920383,199523.251735433,263137.072521182,150255.052269451
1000,5,1000_5,Lindviken,no_N,no_thin,no_P,F,B,not_thinned,Norrbotten,65.8422095261,20.866412618,28,36,70,2016,0,0,2347.51205904274,51.4137480214434,45.6592283072546,4297.07383451038,42039972.4040605,55.84,0.89984,41.086,0.086666666666667,0.017964822667346,0,64471.0640072084,15288.149135521,2733.62033579273,6269.57438325676,8849.14773420395,6408.57068192567,0,0,0,0,0,0,193104.648153003,17133.863316272,4685.77219292742,12648.7803411253,20071.437830831,10341.3446856358,140.805568106889,172.966587442225,8.72289304719353,23.4489613825161,8.10036699089816,48.5807414537362,Revision_6,28164.6126052005,2766.08549011276,832.302211934044,1853.81506331608,2740.72082550951,1726.09888252336,0,0,0,0,0,0,362.363278641976,42.534768886179,17.8525219907858,24.7120826681196,18.011676500361,33.9397247929981,0,0,0,0,0,0,104553.480056182,104096.78976187,275001.870353749,296472.106716814,227573.064003328
1000,6,1000_6,Lindviken,Nxtra,thin,no_P,D,B,thinning+N,Norrbotten,65.8422095261,20.866412618,26,36,70,2016,0,60,3590.76425392793,82.8482214606922,43.3414766258028,6595.19506502462,61612289.8752218,58.28,0.90463,39.208,0.073333333333333,0.013873346218151,0,42672.1868961241,10851.5379306951,1818.61921770389,4307.65331864309,6144.9051000361,4346.06800189061,0,0,0,0,0,0,87799.5355822903,11904.2431402638,2084.7052578395,7809.1022331709,12765.265265459,5153.98111423239,65.496223222588,68.4454627363741,4.39947041237279,9.96638261374206,3.13585790080796,20.8292786766328,Revision_6,80427.622652978,14535.803197118,2778.67799013161,7261.16592074766,10937.5754101749,6451.26263692188,119.537315053068,60.7841503411156,5.26399888390667,9.50417341397448,15.2667103461001,17.3041298300709,14489.5500780821,3258.25642043609,667.654637344823,1329.98972300299,1655.13996428349,1520.86111195426,119.537315053068,60.7841503411156,5.26399888390667,9.50417341397448,15.2667103461001,17.3041298300709,94793.6398601891,74689.0362779238,157514.336085809,250308.873554759,109597.586213564
1005,1,1005_1,Fjällsjö,Nxtra,thin,Pxtra,E,A,thinning+NP,Ångermanland,63.82444,16.303274,28,37,72,2016,200,60,2688.54601315557,65.1808215274811,41.2475011844097,5177.01511225295,35600450.3860642,75.52,0.86541,35.696,0.09,0.020772938453994,0.000107387876173,54220.438432097,12940.2817182905,2153.07482991992,5447.89418562629,8142.90849180502,5132.07344962211,0,0,0,0,0,0,156128.068766858,17383.3159880789,3028.92394851178,13242.4440431994,21562.0709526237,7826.34889855466,721.837123305807,660.690057430749,51.3125305697393,101.833837140337,30.5198706570897,213.726539370349,Revision_7,80635.3180201947,14161.3298382999,2762.204342998,7232.47215693483,10940.3443835948,6357.80730035779,0,0,0,0,0,0,21651.3294503735,4318.17586971194,932.635742386739,1902.82114706893,2521.12533024143,2073.57683626332,0,0,0,0,0,0,123509.91231967,94534.1944209345,253094.338756372,343040.568598681,189782.752746648
1005,2,1005_2,Fjällsjö,Nxtra,thin,no_P,D,A,thinning+N,Ångermanland,63.82444,16.303274,30,37,72,2016,0,60,2363.83967211433,63.8505502508463,37.0214455917395,4505.89888834385,45528499.0777028,51.92,1.0072,37.288,0.086666666666667,0.026819446672587,4.40194260019215E-05,55191.5373318254,13068.7525535577,2149.81327784737,5570.04748858251,8422.98028763169,5138.06331170029,0,0,0,0,0,0,169601.483248183,17195.4750560001,3044.48998490308,13893.1467166368,22563.5437769516,7987.52502270992,552.937308228898,388.190316437068,26.7438068370519,63.6392053305111,60.3218594825299,110.028992770426,Revision_7,76602.3969169468,13391.021350317,2638.36159715366,6781.30304604368,10259.8519508021,6062.2265764711,0,0,0,0,0,0,21102.9632672747,4465.66255327646,916.091663175509,1910.11680217881,2548.30582333407,2069.49610003796,0,0,0,0,0,0,124623.32656046,96069.1129766957,266468.402897727,351222.686732205,203734.595005723
1005,4,1005_4,Fjällsjö,no_N,thin,no_P,A,A,thinning,Ångermanland,63.82444,16.303274,28,37,72,2016,0,0,2159.65935222462,43.4183443319995,49.7407117993891,4099.42417612083,46304874.6188812,46.64,0.70385,35.01,0.07,0.016076614173237,2.22300841900682E-05,53830.6544763933,13418.4595721632,2183.23120788527,5494.45243137416,8150.28642399146,5242.14720415531,0,0,0,0,0,0,149214.270215509,16639.0348125327,3280.20661196515,11937.8841930107,19507.3763768355,8005.97515389422,2.83420477773966,4.94118596574792,0.218923800747189,0.625493145851849,0.074502245127056,1.37544511768739,Revision_7,54002.2951129916,10296.0177072282,1995.69681999836,4876.87330546391,7214.52143257566,4582.54894440851,0,0,0,0,0,0,16859.6709187356,3902.51095959467,735.146463661243,1599.42924824059,2174.92575615001,1701.91208049725,0,0,0,0,0,0,116994.738823339,93795.4984008506,233273.360510025,291562.770441466,181071.395833017
1005,6,1005_6,Fjällsjö,no_N,no_thin,no_P,F,A,not_thinned,Ångermanland,63.82444,16.303274,27,37,72,2016,0,0,1914.12010785978,40.0694987715969,47.7700037819439,3642.51484927302,39482675.4921572,48.48,0.74036,35.367,0.076666666666667,0.018086158723229,8.62489350404154E-05,65179.5590001328,15750.7003624224,2775.48138478997,6394.96587092189,9026.13068888803,6536.74209556418,0,0,0,0,0,0,208245.937650868,19644.1543976406,5178.49209879564,14089.1778180757,22381.4920228899,11474.6932308323,0,0,0,0,0,0,Revision_7,12792.4444229873,998.262758565486,415.571312396582,716.411904201203,945.669564388472,780.936964094621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105663.579402719,105663.579402719,294931.658882619,297663.244145736,247157.76196538
1006,1,1006_1,Vuollerim,no_N,thin,no_P,A,A,thinning,Lappland,66.3900168323,20.5327043789,25,29,66,2015,0,0,2614.1851828129,50.5687134338842,51.6957028426441,4977.92881214583,62901472.1562296,41.56,0.67789,35.044,0.08,0.014276830734958,0,31951.8259640758,14683.6803962403,1623.7401299758,4091.1241048588,5217.2069567187,4604.86632466182,0,0,0,0,0,0,105929.126170645,14380.5479265727,2757.58409632508,9021.35570401038,14653.9706137729,6557.57455530002,0,0,0,0,0,0,Revision_6,54188.3299138405,11198.3047363121,2065.33707536873,5086.32887510039,7430.3464018103,4824.57031705844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62172.4438765312,62172.4438765312,177198.979215896,238093.376386117,132088.613897554
1006,3,1006_3,Vuollerim,Nxtra,thin,Pxtra,E,A,thinning+NP,Lappland,66.3900168323,20.5327043789,27,29,66,2015,200,50,2774.01093760865,54.9468413057755,50.4853576963863,5127.1896568996,56984612.5227742,48.68,0.73554,37.134,0.266666666666667,0.016198690450842,7.05757853431414E-05,27529.7039150565,11730.713438769,1426.19200585859,3363.0696600936,3995.85890937804,3969.90968403209,0,0,0,0,0,0,115665.478359485,15734.1335386428,2809.12595404607,10197.6254761334,16660.0058528111,6883.29684815194,0,0,0,0,0,0,Revision_6,61595.2649658579,12447.7756321973,2322.1442648252,5748.81700854097,8387.56929274575,5419.98499123423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52015.4476131878,52015.4476131878,194389.334169943,263871.222184672,144406.363328307
